Geo_GEOID,Geo_NAME,SE_T002_001,SE_T002_002,SE_T002_003,SE_T012_001,SE_T012_002,SE_T012_003,SE_T057_001,SE_T098_001,SE_T104_001,ACS16_5yr_B25077001,ACS16_5yr_B25077001s
05000US01001,"Autauga County, Alabama",55049,92.60549,594.4463681,37.8,36.6,39,53099,1991,896,141000,3234.545455
05000US01003,"Baldwin County, Alabama",199510,125.4931,1589.808188,42.3,41,43.6,51365,1994,889,173400,2340.606061
05000US01005,"Barbour County, Alabama",26614,30.07652,884.8762048,38.7,37.2,41.8,33956,1981,588,90300,4398.787879
05000US01007,"Bibb County, Alabama",22572,36.25543,622.5826282,40.2,37.7,42.2,39776,1983,654,97200,6810.909091
05000US01009,"Blount County, Alabama",57704,89.49037,644.8067929,40.8,39.9,42,46212,1987,631,124200,3149.090909
05000US01011,"Bullock County, Alabama",10552,16.94269,622.8056161,39.2,37.7,42.1,29335,1983,564,68000,6819.393939
05000US01013,"Butler County, Alabama",20280,26.10615,776.8283838,40.6,39.5,41.4,34315,1981,563,83000,3989.090909
05000US01015,"Calhoun County, Alabama",115883,191.2611,605.8890775,39.1,37.8,40.4,41954,1977,635,107900,1786.666667
05000US01017,"Chambers County, Alabama",34018,57.02634,596.531394,43.1,41.3,43.8,36027,1974,658,83000,2313.939394
05000US01019,"Cherokee County, Alabama",25897,46.76913,553.71994,45.7,44.9,46.4,38925,1985,601,112500,4203.636364
05000US01021,"Chilton County, Alabama",43817,63.24134,692.8537677,38.7,37.9,39.4,42594,1988,646,99100,3435.151515
05000US01023,"Choctaw County, Alabama",13287,14.54515,913.5003992,45.1,43.9,47.5,32622,1983,497,64600,3752.121212
05000US01025,"Clarke County, Alabama",24847,20.06274,1238.464944,42,40.4,42.7,32735,1982,540,85900,3089.090909
05000US01027,"Clay County, Alabama",13483,22.32428,603.9612601,43.7,43.6,44.1,38815,1977,441,90000,7048.484848
05000US01029,"Cleburne County, Alabama",14991,26.76465,560.1045009,41.5,40.5,42,36316,1982,582,108100,3103.030303
05000US01031,"Coffee County, Alabama",50991,75.09875,678.985966,39.3,38,40.1,47872,1984,701,142800,4492.727273
05000US01033,"Colbert County, Alabama",54377,91.75696,592.6199133,42.4,41,43.9,43786,1975,638,102500,3194.545455
05000US01035,"Conecuh County, Alabama",12697,14.93489,850.15681,44,43.5,44.4,27609,1983,528,72300,2387.878788
05000US01037,"Coosa County, Alabama",10864,16.69006,650.9264074,44.9,45.9,44.3,31910,1982,567,76500,5469.090909
05000US01039,"Covington County, Alabama",37729,36.61388,1030.456271,42.9,41.3,44.8,37313,1978,585,93700,2676.363636
05000US01041,"Crenshaw County, Alabama",13896,22.82374,608.8398124,41.6,39.7,43.9,37557,1978,515,77600,3332.121212
05000US01043,"Cullman County, Alabama",81316,110.6494,734.8978111,40.5,39.4,42,39297,1983,626,118700,2898.181818
05000US01045,"Dale County, Alabama",49607,88.40614,561.1262322,36.9,35.3,39.1,44093,1982,636,103800,2841.818182
05000US01047,"Dallas County, Alabama",41426,42.32781,978.6946102,38.9,36.8,40.1,28136,1974,581,81000,2509.090909
05000US01049,"DeKalb County, Alabama",70937,91.28496,777.0940715,39.3,38.5,39.8,38248,1981,552,99600,3116.363636
05000US01051,"Elmore County, Alabama",80957,130.895,618.487993,38.3,36.9,39.4,53398,1991,817,152500,3174.545455
05000US01053,"Escambia County, Alabama",37875,40.07595,945.0804683,39.9,38.9,40.9,32334,1982,564,93900,2749.69697
05000US01055,"Etowah County, Alabama",103363,193.0993,535.284148,40.9,39.6,42.3,40478,1973,623,101900,2184.242424
05000US01057,"Fayette County, Alabama",16783,26.73799,627.6837236,43.6,41.6,45,36205,1980,483,76400,3401.818182
05000US01059,"Franklin County, Alabama",31573,49.81407,633.8169289,39.1,36.5,41,36138,1978,553,87000,2843.636364
05000US01061,"Geneva County, Alabama",26765,46.59577,574.4083447,42,41.5,43.4,36519,1979,567,81500,2641.818182
05000US01063,"Greene County, Alabama",8587,13.26987,647.1048237,41.3,36.7,45.3,21339,1979,414,68100,2621.212121
